questions,answers
asking soil testing tea cultivation,"visit tocklai tea research institute, jorhat for soil testing"
asking application fungicide pruning tea,"visit tocklai tea research institute, jorhat for soil testing"
query regarding crop grown season,"grow crops like bitter gourd, ridge gourd, sponge gourd, cucumber and okra. for the hybrid rice variety grow during aug-sept"
asking nutrient deficiency pumpkin,"apply vegetable special @ 2gm / l of water , 2 spray at 15 days interval."
query regarding duck delayed laying first 23 day continuous laying age group 7 month dimbpro," told him to give minerax mixture & vitamin b complex as directed - calcium supplement is also necessary for egg formation , maintain proper male female  ration , free oviposital developement takes sometime more time  after 2-3 days of continious laying , it may be due to   due to the  hormonel  effect like oxytocin ,     & deficiency of vitamin & mineral , provide 16 - 18 hours light is necessary for laying - powder like dimbpro & ad3e injection should de given after examination "
asked control wilting brinjal,দার্শবান স্প্রে কৰিব দুবাৰ  ২ মিলিটাৰ / লিটাৰ পানীত মিহলাই  প্রতি পাশ দিনৰ মুরে মুরে 
asked control leaf minor,দার্শবান স্প্রে কৰিব দুবাৰ  ২ মিলিটাৰ / লিটাৰ পানীত মিহলাই  প্রতি পাশ দিনৰ মুরে মুরে 
query regarding broiler showing sign respiratory sign, give   ciprocolen @ 1-1.5 ml / lits of water for 3-4 days 
query regarding broiler showing decrease growth age group 30 day average body weight 15 kg told give sharkoferol g promin 10 ml 100 bird 23 day age 912 day 2830 day,"told him  give sharkoferol / g promin  @10 ml / 100 birds for 2-3 days , at the age of 9-12 days & again at 28-30 days "
asking govt subsidy mushroom cultivation citrus propagation method,"grow gourds,cucumber,chilli,okra"
asking growing vegetable season,"grow gourds,cucumber,chilli,okra"
asking control fungal disease,"continue spray saaf @2gm/l water or 35 gm/16 litre water.

continue to spray planofix @2ml/4.5l water at 8 days interval during flowering.

also apply as prophylactic spray carbendazim @2gm/l water in seedlings of ridge gourd, cucmber etc."
asking control fungal infection pumpkin,spacing: 1m x 1m
asking spacing onion,spacing: 1m x 1m
query poultry bird suffering offed white diarrhoea,"treatment: 1. tetracycline powder-100gm pkt. @ 1gm in 1/2 lit. water, orally, daily, for 7 days.
2. trimethoprim/sulcoprim bl.: 8no.s @ 1bl. in1lit. water, for 7 days. 3.r2b vaccine:1ph. @ 0.5ml i/mly to each."
asking control bud rot coconut,spray blitox 50 @ 2 g/l of water for three times at an interval of 5 days
asking control potato blight,spray ridomil gold @2gm/l water alternatively with mancozeb@2gm/l water.
query regarding chicken showing sign white diarrhoea suspected pullorum disease,"--- give tetracycline hydrochloride @ 1 gm/ lits of water for 4-5 days in the 1 st half of the day & in 2 nd half duaprim @ 5 gm /100 birds for 4-5 days , , ors should be mix with drinking water to check dehydration , tab lomophen as directed, in the 1 st half of the day "
query regarding vermicompost,"contact kvk, sivasagar - dr. pradip handique - 9613856696"
asking control fungus chilli soil drench blitox mixing 2 gram 1liter water,soil drench with blitox mixing 2 gram in 1liter of water
query rainfall,"there will be mild rainfall on 20th and 21st jan., 2020."
asked pm kisan samman nidhi,"manuj kumar gogoi	vill.: maibella, gp : nimonagarh, block : lakowa, p.o. : maibella, dist. : sivsagar, assam - 785689	৯৯৫৪৫৩৬গ২
bhaskar jyoti gogoi	vill.: charimuthia gohain gaon, gp : charaideo, block : lakowa, p.o. : silakuti, dist. : sivsagar, a"
asked pm kisan samman nidhi,"manuj kumar gogoi vill.: maibella, gp : nimonagarh, block : lakowa, p.o. : maibella, dist. : sivsagar, assam - 785689 ৯৯৫৪৫৩৬গ২ bhaskar jyoti gogoi vill.: charimuthia gohain gaon, gp : charaideo, block : lakowa, p.o. : silakuti, dist. : sivsagar, a"
query local bird 2 month old suffering watery dirrhoea etc,"treatment: 1. cotrimal/trimethoprim bl.:20no.s @ 1bl for 20 no. of birds, orally, daily, for 2 days.
2.colis-v 100gm@35gm orally daily for 3days."
asking micronutrient spray,apply mahafal/ tracel @ 2ml/lit of water spray 2 time at 15 days interval
querylocal poultry lay small egg,"treatment:1.tetracycline powder:100gm pkt. @1gm in half lit. water, orally daily for 7 days.
2.calcium and mineral mixture/dim-dim 1lit. @ 20ml for 100 birds."
query control louse poultry," ivermectin/endectin liquid for spray:1ph.: 1ml in 1lit. water, spray externally."
asking control aphid,"apply  rogor  @ 1-2ml/lit of water spray 3 times at 5 days interval
for control of late blight apply ridomil gold 2g/lit of water spray 3 time at 5 days interval"
query goat conjunctivities wound eye,"--treatment: 1. cipro eye drop:1ph @1drop twice daily, to the affected eye.
2. enteromycin eye ointment:1tube-apply externally."
asking land preparation planting chilli,"--apply malathion dust @ 1.3kg/bigha and urea-16kg, ssp-20kg and mop-4kg/bigha in the time of ploughing.seed should be treated with indofil m 45 @ 2g/lit of water "
query regarding spacing ber,spacing - 2 m x 2 m
query regarding piglet congenital anomilis anus suspected atresia ani et rectus,"wash the anal area with betadine solution  , ,open the rectal opening after applying l.a  ,surgical procedure will be require in such cases [ purse sting suture may required after operation    . , give a course of an antibiotic & antihistaminic for 3-4 days , post operative care should be taken , [ prior to  go for urgical procedure a x- ray  of anus or lower abdomen may required]"
asking veterinary query expert available 2 pm,expert will be available after 2 pm
asking insect attack gummosis coconut,--inject malathion 2ml/lit of water inside hole and use bordo for gummosis control
asking nutrient management coconut,--inject malathion 2ml/lit of water inside hole and use bordo for gummosis control
asking remedial measure poor root growth bitter gourd,as there is no any application  of fertilizer so it is better to go for spraying of gromor npk 19:19:19 @ 10 grams per litre of water for two sprays at an interval of 12-15 days interval
asked control algal layer 3 bigha pond contact number directorate fishery,spray saaf @ 2ml/lit of water at 7 days interval for 2times
asking control fruit rot bottle gourd,spray saaf @ 2ml/lit of water at 7 days interval for 2times
query regarding liver tonic cattle,"li v 52 - 35 -40 ml orally daily  [ livsee , livrol , hepacef, feroliv,  etc are the liver product for cattle & buffalo , injectable preperation are - pepsid , belamyl , neohepatex  etc  "
asking control measure leaf eating catterpillar knolkhol,"spray dimethoate @ 2 ml per lit of water, 3 sprays at 4 days interval"
asking control measure fruit fly pumpkin,"spray dimethoate @ 2 ml per lit of water, 3 sprays at 4 days interval"
query regarding growth bottlegourd flower initiation pumpkin,"bottlegourd-spraying of npk 19:19:19 @ 10 g/l of water for two times at an interval of 12-15 days
pumpkin- spray planofix @ 1 g/l of water for two times at an interval of 15 days for flowering"
query regarding control shoot fruit borer brinjal,"bottlegourd-spraying of npk 19:19:19 @ 10 g/l of water for two times at an interval of 12-15 days
pumpkin- spray planofix @ 1 g/l of water for two times at an interval of 15 days for flowering"
query regarding local hicken give ambiplex 10 ml 100 bird small pox vaccine 02 ml c ly 2 month age tetracycline hydrochloride meriquin liquid enrofloxacin etc antibiotic 1 gm lit water 34 day," give ambiplex 10 ml / 100 bird , small pox vaccine 0.2 ml - s/ c ly at 2 month of agetetracycline hydrochloride [ meriquin liquid , enrofloxacin  etc are the antibiotic ] @ 1 gm / lits of water for 3-4 days "
asking control wilt papaya,spray saaf @ 2gm / l of water
query regarding cultural practice lemon,"apply 300 g urea, 700 g ssp and 150 g mop per plant in two splits - feb/march and sep/oct
pit size - 0.75 cm x .75 cm x .75 cm
spacing - 5 m x ৫ m"
asking weeding chilli,go for hand weeding
query2years old boar want keep meat purpose poor health pregnant sow,reply: 1. castrate the male by a doctor. 2. for the preg. sow: ostovet liq. for the sow. 3. vimeral liq. for the castrated male.
asking substrate management mushroom cultivation,straw is soaked in clear water for 12 hours. after that it is immeresed in boiled water for 30 minutes. treated straw is spread on a cemented floor.
asking control alternate bearing mango,apply planofix @ 1ml per 5 l pfr water 
query 45 monthold 3nos pig growth proper,"treatment: 1. vimeral:120ml @4-5 tsf orally, daily, to each, in the evening, 2. ambiplex: 500ml @ 20ml orally, daily to each, in the morning."
asking aboutfruit fly pumpkin,spray rogor or malathion @ 2ml/lit of water at 5 days interval for 3 times
asking root rot chilli,"spraying of blitox 50,blue copper 50,dhanucop @ 2 g/l of water for three times at an interval of 5 days.followed by application of planofix @ 1 ml in 5 litres of water for two times at an interval of 12-15 days."
sow given 3 guilt sow 2 guilt weak sow suffering offed mastitis,"treatment:  for the sow: 1.c-flox:1gm-10 no.s @ 1bl. orally twice daily. 2. feroliv:1lit. @50ml orally twice daily, 3.ostocalcium:1lit. @50 ml orally daily. 4. vimeral:120ml @5-6tsf orally daily to the sow and 1tsf orally daily to the 2 guilt."
asking process taking soil sample soil testing,take the soil sample from different areas of the plot about 10-15 cm depth 
query regarding fmd heifer suffering suffering slight lameness wound hoof,"treatment: 1.c-flox inj. 50ml @ 6ml i/mly daily, or, c-flox bl.:1gm- 10no.s @1bl. orally twice daily, 2. diclofenac bl.:5no.s @ 1bl orally, daily. 3.himax oint.-1tube-apply externally. "
asking contact kvk titabar contact sanjib ranjan borah 9435038547,"contact sanjib ranjan borah, 9435038547"
asking water quality testing,"contact fishery department or college of fishery , nagaon (raha), assam"
asking cultivation practice bhendi,"--soil: well drained sandy loam to clay loam rich in organic matter 
land preparation: land should be prepared thoroughly and fym should be applied.
 seed rate: 21 kg for spring summer crop (jan-march) 7 kg for rainy season crop (may-july) 
sowing time: mid january – july
 spacing:  (row to row x plant to plant) 30 cm x 15 cm (spring/summer crop)     45 cm x 30 cm (rainy se"
asking initiation female flower,"--soil: well drained sandy loam to clay loam rich in organic matter 
land preparation: land should be prepared thoroughly and fym should be applied.
 seed rate: 21 kg for spring summer crop (jan-march) 7 kg for rainy season crop (may-july) 
sowing time: mid january – july
 spacing:  (row to row x plant to plant) 30 cm x 15 cm (spring/summer crop)     45 cm x 30 cm (rainy se"
asking substrate management mushroom cultivation,"straw is soaked in clear water for 12 hours. after that it is immeresed in boiled water for 30 minutes. treated straw is spread on a cemented floor.
"
asking amount lime applied one hactre plantation, advised to apply 20 qt of lime per hactre in every three years depending on the soil test result.
query regarding kcc,reply: visit your nearest nationalised bank.
asking testing soil,contact district agriculture office
query regarding local chicken suffering offed huddle togethertetracyclin lixen given,treatment: 1. trimethoprim 10bl. @2bl orally twice daily for 100 bird.
query regarding use human medicine case poultry,"reply: yes, you can."
asking veterinary qures,expert will be available om tomorrow from 6am to 2pm
asking another contact number dr sanjib ranjan bora jorhat kvk,আপুনি যোৰহাট কৃষি বিজ্ঞান কেন্দ্র ত যাব. তেওঁৰ অন্য ফোন নম্বৰ আমাৰ ইয়াত নাই .
query regarding 5nos pig poor health condition,"--treatment ostocalcium 1lit. + vimeral-120ml, mix, then fed 30ml orally daily to each."
asking initiation female flower,apply planofix or etheral @ 1g/5 lit of water spray 2 time at 15 days interval
asking govt scheme machinary subsidy,the name of the scheme-chief minister samagra gramya unnayan yojana
asking nutrient management sponge gourd,"spray 10 kg urea, 15 kg ssp and 8 kg mop per bigha"
asking variety nutrient management cucumber manure fertilizer fym 3 urea 15 kg ssp 38 kg mop 18 kgbigha half urea full dos ssp mop applied basal remaining half urea top dressed 30 day emergence," varieties like - 
        infinity 
•	dasher ii
•	sweet success 
•	salad bush
•	calypso. ...
•	little leaf h-19. ...
•	national pickling. ...
•	orient express ii. ...
•	sweet slice
manure and fertilizer: fym @ 3 t, urea  15 kg, ssp  38 kg and mop  18 kg/bigha . half of urea  with full doses of ssp and mop  should be applied as basal and the remaining half of urea to be top dressed at 30 days after emergence"
asking control flower dropin mango,--spray planofix @ 1ml/4.5lit of water at 15 days interval and npk all @ 10g/lit of water at  7 days interval
asking farming want startrear 2 no pig,"reply: you can start with hampshire breed. select a high land, make the house in east-west direction. after bringing the pigs, deworming and vaccination should be done.  contact the nearest govt. vety.dr. of govt. vety. hospital."
asking came heat 4days ago feeding decreased milk production also reduced,"--reply: due to heat period feeding and milk production has reduced. it will increase gradually. fed ostovet liq. 1lit. @ 100ml orally, daily. for duck to improve health fed vimeral-60 ml @ 1tsf to each orally daily."
asking nutrient deficiency chilly,--spray tracel-2 or crop booster @ 2 gram / liter water
query regarding vaccine cattle," give-- foot & mouth disease [fmd]vaccine , haemorrhagic septicaemia [hs] & black quarter [ bq ]  ,infactious bovine  rhinotrachiaticis [ nasel drop]  vaccine , brucellosis vaccine , in time  to immune the cattle againt the diseases"
asking micro nutrient application chilli,apply tracel @2-3 g per liter of water.
asking amount furadon 3g field,apply 1.5 kg furadon /bigha 
query regarding kisan credit card,"contact nationalized bank with bank passbook, id and land documents
"
asking error getting instalment pm kisan,contact the district agriculture office for further assistance as we are not authorised to deal with pm kisan registration.
asking application micronutrient,"spray planofix @1ml/4.5l water at 8 days interval.
also spray mahaphal @2gm/l water during flowering."
asking sowing time chilli,sowing time of chilli is december - january
query regarding egg accidently soaked b 904 solution placed incubation wash egg normal saline solution dry egg placed setting trey inside incubator incubation,"- wash the egg with normal saline solution , dry all the eggs & should be  placed on the setting trey inside the incubator for incubation   "
asking control insect problem bottle gourd,apply malathion 5 % dust @ 3 kg per bigha of land.
asking control termite problem cowpea,apply malathion 5 % dust @ 3 kg per bigha of land.
asking control fruit dropping coconut,"apply borax 50 g along with 1.5 kg urea, 2.5 kg ssp and 2 kg mop per plant per yaer in 2 split doses."
asking time planting turmeric,"time of planting -mid dec to april (turmeric)
time of planting -april to june (colocasia)"
asking fertilizer requirement bitter gourd,"apply 11 kg urea, 25 kg ssp and 7 kg mop per bigha of land."
asking control measure rotting pumpkin,"spray saaf @ 2 g per lit of water, 3 sprays at 4 days interval"
query regarding kcc,reply: approach concerned bank and discuss.--
asking pm kisan samman nidhi yojana,contact with district agriculture office 
asking stunted growth chilli,"spray npk 19 all @ 5gm/litre water,2 sprays at an interval of 7-10 days"
asking contact number krishi vigyan kendra,dr pradip handique-9613856696
asking remedy blight tomato,do the ooze test if the infection is caused by bacteria or fungus by dipping the infected part in clear water in a glass for 30 min
asking pm kisan samman nidhi,--go to  district agriculture office
asking registration pm kisan samman nidhi,"visit respective district agriculture office regarding registration in pm kisan further it can be done with the nearest csc centres provided below
as021500807	  monuj boruah	
vill.: na-khat, gp : niz khaloighugura, block : s0nari, p.o. : khaloi ghugura, dist. :charaideo, 
contact no-9678598701
as021500805 	kishor e phukan	
vill bengenabari contact no-8724864246


"
asking planting material availability cardamom strawberry,contact to krishi vigyan kendra nazira-9613856696
asking micronutrient application inmaize,apply tracel 2 @ 2 g per liter of water at an interval of 15 days for 2 times.
asked retention placenta,give oxytocin @ 10 ml in muscle and u-plus or utrivive @ 100 ml/oral
query regarding rainfall wind speed amguri block sivasagar,"there is an total rainfall of 9.8 mm rainfall in the next five days i.e 26/2/20 t0 01-03-20 and tomorrow wind velocity of 10 km/hour is forecasted.
date	                                     26-02-2020	                27-02-2020	28-02-2020	29-02-2020	01-03-2020	total / average
rainfall (mm)                               	7.5	                             2.3	             0.0	                0.0	             0.0	              9.8
windspeed(kmph)	                      10.0	                             6.0	             6.0	                6.0	             7.0	              7


"
asking ahu rice variety,"ahu varieties- bishnu prasad,jyoti prasad etc."
asking control fruit fly pumpkin,spray malathion 50 ec  @ 2ml / l of water 
asking fertilizer dos bhindi,spray malathion 50 ec  @ 2ml / l of water 
asking kcc,contact the district agriculture office for further details
asking pm kisan credit card,contact the district agriculture office 
asking storage potato,"--only perfect potatoes are suitable for long-term storage.
place the potatoes in a cardboard box, paper bag, mesh bag, or basket to ensure good ventilation. plastic bags won't allow them to breathe and will shorten their shelf life considerably, so remove them from a plastic bag if you've brought them home in one.can also mix indofil m 45 as fungicide

store your potatoes in a cool, humid, and dark place (45 to 50 degrees fahrenheit is the ideal temperature range). if you have an unheated basement, that's a perfect spot for your potatoes. an insulated garage or shed might also work during the winter. never store potatoes in the fridge. the too-cold temperature turns the potato starch into sugar.
check on your potatoes regularly and remove any that are soft, shriveled, or sprouted so they don't cause more potatoes to go bad. even if your potatoes have sprouted, they are still safe to eat as long as they are firm to the touch and are not shriveled."
asking solar pump,contact the district agriculture office
query regarding agarwood farming nursery,"visit krishi vigyan kendra,sivasagar regarding improved nursery practices of agar "
asking kisan credit card pm kisan beneficiary,contact district agriculture office
asking control nutrient deficiency papaya,apply npk 19 all @ 10 g per liter of water at an interval of 15 days for 2 times.
asking kisan credit card loan,--contact the nationlized bank for further details
asking control white fly,"spray dimethoate @ 2 ml per lit of water, 3 sprays at 4 days interval"
query regarding diarrhea pig vaccination local chick,"--for pig: 1.sow: fentus-plus 1gm orally in empty stomach, 2. piglet: fentus plus 150mg- 1tab to each, orally, in empty stomach, 3. vitakind liv 1lit. @ 50ml to the sow and 10ml to each piglet, orally daily. 3. for diarrhea: trimethoprim bl.-10no.s @ 1bl orally daily for 2days to the sow and half bl orally daily to each piglet, for 2 days.
for poultry: f1 vaccine, at 7th day,@ 1drop toeye or nose of each chick, then tetracycline powder 100gmpkt. @ 1gm in 1lit water, daily for 3 days, 2. ibd vaccine at 12th days, 3. r2b vaccine 0.5 ml i/mly, to each, at 21st days."
query regarding control mealy bug lemon,application of nuvan @ 2 ml/lit. for three times at an interval of 5 days along with combination with fish oil resin soap 25 g/lit. as spray or dipping the fruits for two times.single soil application of phorate 10 g @ 50 g per tree around the base at the time of pruning is essential
asing control caterpillar bottlegourd,application of nuvan @ 2 ml/lit. for three times at an interval of 5 days along with combination with fish oil resin soap 25 g/lit. as spray or dipping the fruits for two times.single soil application of phorate 10 g @ 50 g per tree around the base at the time of pruning is essential
asking gap fertilizer application sowing seed,recommended gap between fertilizer application and sowing of seeds is 3 days.
asking time application fertilizer coconut,recommended gap between fertilizer application and sowing of seeds is 3 days.
asking control thrip chilli,apply rogor @ 2 ml per liter of water at an interval of 3-4 days for 3 times.
asking chick,"-- we can not provide chicks, we can give you advice."
asking control measure fusarium wilt cut worm attack strawberry,"spray saaf @ 2 g per lit of water, 3 sprys at 4 days interval
spray tricel 20 ec @ 2 ml per lit of water, 3 sprays at 4 days interval"
query regarding issue soil health card,for further information contact district agriculture office
application borax mango,apply borax @50gm per plant in ring structure
asking 45nos 8month old ducktheir egg production wt gain low,"treatment: 1. tetracycline powder 100 gm pkt. @ 4-5gm in 1lit. water daily for 4-5 days, 2. vimeral 120 ml @ 20 ml orally, daily."
asking regarding correction detail kcc loan,visit the nearest csc for correction of details and consult the agricultural field officer regarding kcc for further details 
asking chilli drying machine,"contact kvk sibasagar,  dr. pradip handique : 9613856696"
query regarding local piglet showing sign decrease growth,"- inject pepsid 10 ml as directed , provide good ration & follow up the vaccination [ swine fever , swine erysipelas ]   use growyh promoter in time to pbtain optimum growth   "
asking fertilizer dose nhindi,"apply urea @ 14kg, ssp@20kg and mop@10kg per bigha."
asking spacing bhindi,"apply urea @ 14kg, ssp@20kg and mop@10kg per bigha."
asking fungal infection bean,--
query regarding farming turkey,make the house in east-west direction. after bringing the n give medicine and vaccine.
asking fertilizer application control flower drop lemon,make the house in east-west direction. after bringing the n give medicine and vaccine.
asking insect infestation lemon apply dursban30 ec 2ml l water 3 spray 5 day interval lemon insect attack,prepare pits of 45cm*45cm*45cm size at spacing of 1.8m*1.8m.
asking papaya planting distance,prepare pits of 45cm*45cm*45cm size at spacing of 1.8m*1.8m.
asking measure maintaining soil fertility,"crop rotation, use proper dose of nutrient, grow green manuaring and pulse crops onece in a year"
query regarding pm kisan samman nidhi yojna,visit common service center and district agriculture office of your respective area to avail the scheme
asking control damping,"spray blitox 50 @2gm/l water, 3 spray at 5 days interval.

for coconut apply borax @50gm per plant in ring structure. coconut special @150gm per plant."
asking control rhizopus rot,"apply urea 750 g/plant, ssp 1250g/plant mop 900 g/plant and borax  25g/plant"
asking control nut drop,"apply urea 750 g/plant, ssp 1250g/plant mop 900 g/plant and borax  25g/plant"
asked fungal control pond,apply lime 5 kg and potash 200 gram for 3-4 days
query regarding rainfall, tomorrow 5.7 mm rainfall.
asking control viral problem chilli,apply malathion or rogor @ 2 ml per liter of water at an interval of 3 days for 3 times.
asking control fruit rot chilli,apply malathion or rogor @ 2 ml per liter of water at an interval of 3 days for 3 times.
asking variety cowpea,"varieties: co 2, vbn 2, pusa komal, pkm 1 and arka garima"
asking one duck suffering white diarrhea offed unable move,"treatment: 1.dexona tab 5 no.s @ 1tab orally,daily.. 2.cipro 500mg @ one fourth tab. orally, twice daily.
3. trimethoprim bl. 2 no.s @ one fourth bl. orally twice daily."
asking round harvesting mushroom bundle 3 t0 4 round harvested single bundle, 3 t0 4 round can be harvested from a single bundle
state call,"--अपने राज्य के किसान कॉल सेंटर में बात करने के लिए इसी नंबर (18001801551 )को अपने राज्य की लोकल सिम से डायल करें
"
asking control measure fruit borer bottle gourd,spray rogor or tafgor @ 2 ml / liter water thrice at a interval of 5 days as directed.
query regarding training pig farming,--take the necessary information from thre district veterinary office of the sivsagar district 
query regarding control red spider mite tea,application of magister/mitigate @ 140 ml in 200 litres preferably in morning hours for effective control of mites in tea
query regarding two no kid deficating yellow colour stool yellow colour stool nothing expultion meconium gradually decline advancement time inject inimox 250 mg dexona 1 ml directed bth kid anigest 30 gm 10 gm orally molasses 23 day,"--yellow colour of stool is nothing but the expultion of meconium - it will gradually decline with advancement of time ,- inject inimox 250 mg with dexona 1 ml as directed to bth of them [ kid] , anigest 30 gm - 10 gm orally with molasses for 2-3 days "
asking kcc loan last date,--28 feb 2020
asking kisan credit card,visit district agriculture office.
asking dose pegasus insecticide,apply pegasus @ 2 g per liter of water at an interval of 3-4 days for 3 times.
asking dog suffering offed vomiting etc since 3days ago,"treatment: 1.dexamethasone tab. 5no. @ half tab. orally twice daily. 2.cpro 500mg @ half tab orally twice daily. 3. antacid gel @ 2tsf. orally, 3 times a day."
asking ordered layer bird size egg colour egg,the colour of egg willbe large as the layer bird. do proper management after arrival.
query regarding local chicken laying hengenerally standard egg weight 5657 gm weight size hen local may depending upon type breed nutritional status anatomical architexture fallopian tube environment genetic size weight varied different group local indigenous breed nearly almost larger size local breed produce larger size egg another local breed generally le 50 gm weigt egg select incubation either local layer breed,"generally standard egg weight is 56-57 gm ,weight  & size of hen [ local ]  may very depending upon the type of breed , nutritional status , anatomical architexture of fallopian tube ,environment & genetic , size & weight are varied in different group [ local / indigenous ]breed] , but nearly almost same , the larger size of any local breed can  produce larger size of egg then the another local breed , generally less then 50 gm weigt egg should not be select for incubation either local/ other layer breed  "
asking veterinary exepert,"generally standard egg weight is 56-57 gm ,weight  & size of hen [ local ]  may very depending upon the type of breed , nutritional status , anatomical architexture of fallopian tube ,environment & genetic , size & weight are varied in different group [ local / indigenous ]breed] , but nearly almost same , the larger size of any local breed can  produce larger size of egg then the another local breed , generally less then 50 gm weigt egg should not be select for incubation either local/ other layer breed  "
asking control measure dropping chilli,"spray planofix @ 1 ml in 5 litres of water, 2 sprays at 10 days interval"
asking nutrient management bhindi,"spray npk / 19 all @ 5-6 g per lit of water, 2 sprays at 15 days interval"
asking control button shedding coconut,apply borax @ 25 g per plant  in ring method.
asking aphid infestation chilli plant,"apply chloropyriphos 20 ec @ 2ml / l of water , 3 spray at 5 days interval."
asking control flower drop chilli,"apply chloropyriphos 20 ec @ 2ml / l of water , 3 spray at 5 days interval."
asking fertilizer dose paddy,"apply 18 kg urea in 2 split doses, 17 kg ssp and 9 kg mop per bigha of land."
asking avalability paddy seed,"apply 18 kg urea in 2 split doses, 17 kg ssp and 9 kg mop per bigha of land."
asking control fungal infection betelvine,apply mahafal @ 2ml/lit of water spray 3 time at 5 days interval
asking vitamin spray bhendi,apply mahafal @ 2ml/lit of water spray 3 time at 5 days interval
asked growth issue brinjal,থ্যাংক you
asking micronutrient spray,থ্যাংক you
asking fishery expert,"initially - lime - 33 kg/bigha/ monthly
cow dung - 250-260 kg/bigha/month

regularly- 
lime - 8 kg/bigha/month
cowdung - 100 kg/bigha/month
urea - 25 kg/bigha/month
ssp - 20 kg/bigha/month
mustard oil cake: rice flake- 135 kg/bigha/month"
asked feed dosage 1 bigha pond,"initially - lime - 33 kg/bigha/ monthly
cow dung - 250-260 kg/bigha/month

regularly- 
lime - 8 kg/bigha/month
cowdung - 100 kg/bigha/month
urea - 25 kg/bigha/month
ssp - 20 kg/bigha/month
mustard oil cake: rice flake- 135 kg/bigha/month"
asking nutrient management rice," told him to apply 18 kg urea (2 split), 17 kg ssp, 9 kg mop per bigha. half urea+full ssp+full mop at the time of planting and remaining dose of urea after 30 days of planting"
asking management nursery preparation," told him to apply 18 kg urea (2 split), 17 kg ssp, 9 kg mop per bigha. half urea+full ssp+full mop at the time of planting and remaining dose of urea after 30 days of planting"
asking fruit set papaya,"as it is a male plant, fruit set will not be occurred. go for varieties like red lady, laal pari etc."
asking fertilizer dos banana,"as it is a male plant, fruit set will not be occurred. go for varieties like red lady, laal pari etc."
asking training schedule rani pig research station,--contact to rani pig research station
asking control bacterial blight chilli,spray streptomycin @ 1g/4.5lit  and saaf @ 2g/lit of water at 5 days interval
asking control fruit fly bottle gourd,spray streptomycin @ 1g/4.5lit  and saaf @ 2g/lit of water at 5 days interval
query regarding coconut planting,"planting distance: 7.5 m x 7.5 m 
pit size: 1 m x 1 m x 1 m
time of planting: march-april under high land condition 
pit filling: pit should be filled up with mixture of top soil, 20 kg compost or dried cowdung and 100 g of 5% malathion dust up to 2/3rd of pit.
fertilizer dose: apply urea 300 g , ssp 500 g ,mop 350 g ,borax 25 g per plant.the fertilizer should be applied in two equal split doses, i.e. in april and october. the fertilizer should be applied to a trench of 30 cm width and 10 cm depth at a radius of 1 m away from the trunk depending upon the age of plant and covered with green leaves and then by soil.
"
asking control bacterial blight brinjal,spray cristocycline @ 1gm / 5 l of water
asking kcc loan,visit to district agriculture office
asking fusarium wilt brinjal,"spray indofil @ 2 ml per lit of water, 3 sprays at 4 days interval"
asking control gumosis lemon,--spray blue copper 50 /dhanu cop @ 2gm / l of water for three times at 5 days interval 
asking fertilizer application coconut,ring method at 1.5 meter distance from the plant should be applied in the month of october. the trench size should be 30 cm width and depth 10 cm and should be covered with green leaves and then by soil after application
asking control gumossis blight citrus,spray bordo 2 10g/lit of water at 7 days interval
asking control fruit fly chilli,spray profex super  2ml / l of water three times at 5 days interval
asking pond preparation fish stocking,"  apply cowdung- 30-40 kg  per bigha  , urea- 3-5 kg per bigha and ssp - 3-5 kg per bigha"
asking veterinary query,--number provide to veterinary expert
asking veterinary expert,forewarded to veterinary expert for further resistance
asking control insect attack bittergourd,spray tricel or tufgor @ 2ml/lit of water at 5 days interval
query regarding 60 no one half month old layer bird suffering offed weight loss,"treatment: 1. r2b vaccine, 2. feroliv-500ml @ 20ml daily with drinking water, 3. vimeral - 60ml @ 10 ml daily with water."
asking seed rate sali paddy,apply 30 kg seed for 5 bigha of land
query regarding seed production paddy,"contact kvk, sivasagar- 9613856696"
asked culture period drhh3 rice variety,drhh-3 - kharif crop - june to october
asking growth seedling nursery bed,"

 keep monitoring the seedling for any disease or pest in nursery bed. 
fertilizer is recommended in main field 3-4 days before transplanting.
age of the seedling must be 25-30 days in nursery bed.

nitrogen is applied for vegetative growth therefore application of fertilizer in nursery bed is not necessary , dry cowdung is recommended at seedling stage.
growth can be monitored on main field after transplanting.

"
query regarding acow sufering mastitis,treatment: 1. intacef-2.5gm 3no.s @ 1vial i/m ly daily. 2. chloril-10ml @ 5 ml i/m ly daily for 2 days.
asking flower dropin coconut,"--apply urea-1.5kg, ssp-2kg and mop-1kg, borax-25f/plant and spray planofix @ 1ml/4.5lit of water at 15 days interval"
asking control insect attack cucumber,spray profex super @ 2ml/lit of water at 5 days interval
query regarding egg outer cover light,"treatment: 1. ostocalcium-1 lit. @ 20ml for 100 bird, daily. 2. vimeral 60 ml @ 10ml for 100 bird daily."
asking registration number power tiller scheme,--contact to district agriculture office
asking krishi sasajuli yojana,contact  to common service centre (csc) 
asking govt scheme," contact dr. pradip handique , krishi vigyan kendra (kvk), sivasagar - 9613856696"
asking pm kisan samman nidhi yojana,waiting for approval by state
query regarding flowering ridge gourd,"contact kvk, sivasagar - dr. pradip handique - 9613856696"
asking veterinary expert,wait for sometime 
asking control rice hispa,apply actara @ 1 g per liter of water at an interval of 3-4 days for 3 times.
